Timer started ...
MOD: delay(30 30), type(tBUF), from(CE_RAM.OUT), to(CE_RAM.PAD)
MOD: delay(70 70), type(tPDi), from(CE_RAM ), to(CE_RAM.OUT)
MOD: delay(110 110), type(tSRi), from(READY.AP ), to(READY.OUT)
MOD: delay(30 30), type(tBUF), from(READY.OUT), to(READY.PAD)
MOD: delay(80 80), type(tCOAi), from(READY.C ), to(READY.OUT)
CHK: delay(100 100), type(tSRW), from(READY.AP ), to(READY.AP )
CHK: delay(80 80), type(tSRR), from(READY.AP ), to(READY.C )
CHK: delay(50 50), type(tWLA), from(READY.C ), to(READY.C )
CHK: delay(50 50), type(tWHA), from(READY.C ), to(READY.C )
CHK: delay(40 40), type(tHA), from(READY.D ), to(READY.C )
CHK: delay(40 40), type(tSA), from(READY.D ), to(READY.C )
MOD: delay(110 110), type(tSRi), from(READ.AR ), to(READ.OUT)
MOD: delay(30 30), type(tBUF), from(READ.OUT), to(READ.PAD)
MOD: delay(80 80), type(tCOAi), from(READ.C ), to(READ.OUT)
CHK: delay(100 100), type(tSRW), from(READ.AR ), to(READ.AR )
CHK: delay(80 80), type(tSRR), from(READ.AR ), to(READ.C )
CHK: delay(50 50), type(tWLA), from(READ.C ), to(READ.C )
CHK: delay(50 50), type(tWHA), from(READ.C ), to(READ.C )
CHK: delay(40 40), type(tHA), from(READ.D ), to(READ.C )
CHK: delay(40 40), type(tSA), from(READ.D ), to(READ.C )
MOD: delay(110 110), type(tSRi), from(WRAD.AR ), to(WRAD.Q )
MOD: delay(30 30), type(tBUF), from(WRAD.Q ), to(WRAD.PAD)
MOD: delay(30 30), type(tCOSi), from(WRAD.C ), to(WRAD.Q )
CHK: delay(100 100), type(tSRW), from(WRAD.AR ), to(WRAD.AR )
CHK: delay(80 80), type(tSRR), from(WRAD.AR ), to(WRAD.C )
CHK: delay(50 50), type(tWLS), from(WRAD.C ), to(WRAD.C )
CHK: delay(50 50), type(tWHS), from(WRAD.C ), to(WRAD.C )
CHK: delay(0 0), type(tHS), from(WRAD.D ), to(WRAD.C )
CHK: delay(55 55), type(tSS), from(WRAD.D ), to(WRAD.C )
MOD: delay(110 110), type(tSRi), from(C8.AR ), to(C8.Q )
MOD: delay(30 30), type(tBUF), from(C8.Q ), to(C8.PAD)
MOD: delay(30 30), type(tCOSi), from(C8.C ), to(C8.Q )
CHK: delay(100 100), type(tSRW), from(C8.AR ), to(C8.AR )
CHK: delay(80 80), type(tSRR), from(C8.AR ), to(C8.C )
CHK: delay(50 50), type(tWLS), from(C8.C ), to(C8.C )
CHK: delay(50 50), type(tWHS), from(C8.C ), to(C8.C )
CHK: delay(0 0), type(tHS), from(C8.D ), to(C8.C )
CHK: delay(55 55), type(tSS), from(C8.D ), to(C8.C )
MOD: delay(110 110), type(tSRi), from(TB_1us.AR ), to(TB_1us.Q )
MOD: delay(30 30), type(tBUF), from(TB_1us.Q ), to(TB_1us.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_1us.C ), to(TB_1us.Q )
CHK: delay(100 100), type(tSRW), from(TB_1us.AR ), to(TB_1us.AR )
CHK: delay(80 80), type(tSRR), from(TB_1us.AR ), to(TB_1us.C )
CHK: delay(50 50), type(tWLS), from(TB_1us.C ), to(TB_1us.C )
CHK: delay(50 50), type(tWHS), from(TB_1us.C ), to(TB_1us.C )
CHK: delay(0 0), type(tHS), from(TB_1us.D ), to(TB_1us.C )
CHK: delay(55 55), type(tSS), from(TB_1us.D ), to(TB_1us.C )
MOD: delay(110 110), type(tSRi), from(TB_2us.AR ), to(TB_2us.Q )
MOD: delay(30 30), type(tBUF), from(TB_2us.Q ), to(TB_2us.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_2us.C ), to(TB_2us.Q )
CHK: delay(100 100), type(tSRW), from(TB_2us.AR ), to(TB_2us.AR )
CHK: delay(80 80), type(tSRR), from(TB_2us.AR ), to(TB_2us.C )
CHK: delay(50 50), type(tWLS), from(TB_2us.C ), to(TB_2us.C )
CHK: delay(50 50), type(tWHS), from(TB_2us.C ), to(TB_2us.C )
CHK: delay(0 0), type(tHS), from(TB_2us.D ), to(TB_2us.C )
CHK: delay(55 55), type(tSS), from(TB_2us.D ), to(TB_2us.C )
MOD: delay(110 110), type(tSRi), from(TB_5us.AR ), to(TB_5us.Q )
MOD: delay(30 30), type(tBUF), from(TB_5us.Q ), to(TB_5us.PAD)
MOD: delay(30 30), type(tCOSi), from(TB_5us.C ), to(TB_5us.Q )
